id,func_group_id,func_group_name,list_id,bus_id,bus_name,func_id,func_name,batch_id,batch_name,description,language_type,proc_type,ext_if,comment
13,"KJS","サブシステム",13,"KJSI01","パートワークオーダー受付・材発","FNKJSI0101","パートワーク受付チェック","BTGKJSI0101J01","パートワーク受付チェック","・本機能はリスト・オーダー共通の「受付チェック」機能より呼ばれる
・該当オーダーがパートワーク講座の場合、以下の受付チェックを行う
　> データNOは「6P12」、「6P13」であること
","PL/SQL","ＤＢ更新","",""
14,"KJS","サブシステム",14,"KJSI01","パートワークオーダー受付・材発","FNKJSI0102","パートワーク複数個口分割","BTGKJSI0102J01","パートワーク複数個口分割","・オーダー受付データよりパートワーク商品で複数個口のオーダーを対象に１個口オーダーに分解する
分解対象
　・オーダー受付データ
","PL/SQL","ＤＢ更新","",""
15,"KJS","サブシステム",15,"KJSI01","パートワークオーダー受付・材発","FNKJSI0103","パートワーク受注登録・材発指示","BTGKJSI0103J01","パートワーク受注登録・材発指示","パートワークデータに対して下記のソート順で送金手帳シーケンスの振り直しを行う
講座コード５桁、グループキー３桁、郵便番号７桁、顧客番号１１桁の昇順に採番
自動生成オーダーの場合、定期送付受注＿明細データを更新、および定期送付受注入金の登録する
上記以外の場合、定期送付受注＿基本、定期送付受注＿明細、および定期送付受注入金を登録する
","PL/SQL","ＤＢ更新","",""
16,"KJS","サブシステム",16,"KJSI01","パートワークオーダー受付・材発","FNKJSI0104","振込用紙（パートワーク用）伝送データ作成","BTGKJSI0104J01","振込用紙（パートワーク用）伝送データ作成","・振込用紙（パートワーク用）伝送データを作成する
※トッパンフォームズへ伝送","PL/SQL","ＤＢ更新","",""
17,"KJS","サブシステム",17,"KJSI02","継続申請・パートワーク","FNKJSI0201","継続申請受付チェック","BTGKJSI0201J01","継続申請受付チェック","定期送付継続申込(6P1G)パンチデータのノーマライズチェックを行い、
チェック結果を定期送付継続申請トランに反映する
・定期送付受注データが存在すること
・中途解約されていないこと
・論理削除されていないこと
・すでに継続されていないこと
チェック結果にエラーがない場合、定期送付受注＿基本を継続に更新する","PL/SQL","ＤＢ更新","",""
18,"KJS","サブシステム",18,"KJSI02","継続申請・パートワーク","FNKJSI0202","継続申込パンチデータチェックリスト出力","BTGKJSI0202J01","継続申込パンチデータチェックリスト出力","当日発生した継続申込データのノーマライズ結果を元に、チェックリストを作成する
　> パートワーク_継続申込パンチデータチェックリスト","PL/SQL","ＤＢ更新","",""
19,"KJS","サブシステム",19,"KJSI02","継続申請・パートワーク","FNKJSI0203","パートワークデータ抽出","BTGKJSI0203J01","パートワークデータ抽出","・２号目以降の材発データ抽出し、パートワーク用トランザクション(定期送付受注＿明細)に登録
・R-1が3回以上で材発を停止（送付保留フラグを保留）する","PL/SQL","ＤＢ更新","",""
20,"KJS","サブシステム",20,"KJSI02","継続申請・パートワーク","FNKJSI0204","パートワークオーダー作成","BTGKJSI0204J01","パートワークオーダー作成","定期送付受注＿基本の継続更新フラグが立っている対象に、６Ｐ１２オーダーデータを作成し、２号目以降の場合は受付オーダー制御情報（チェックパス）を登録し、受付処理を制御する","PL/SQL","ＤＢ更新","",""
21,"KJS","サブシステム",21,"KJSI03","中止・解約情報連携","FNKJSI0301","パートワーク入金情報連携","BTGKJSI0301J01","パートワーク入金情報連携","・当日発生した入金(入金・調整入金トラン)を元に定期送付受注入金を更新する","PL/SQL","ＤＢ更新","",""
22,"KJS","サブシステム",22,"KJSI03","中止・解約情報連携","FNKJSI0302","パートワーク請求情報登録","BTGKJSI0302J01","パートワーク請求情報登録","・当日発生した請求(請求書発行データ)を元に定期送付受注請求を登録する","PL/SQL","ＤＢ更新","",""
23,"KJS","サブシステム",23,"KJSI03","中止・解約情報連携","FNKJSI0303","パートワーク中途解約(返品情報)","BTGKJSI0303J01","パートワーク中途解約(返品情報)","・返品トランを元に返品コードが（１：材発後、本人返品，２：材発後、局戻り返品）を対象に中途解約す","PL/SQL","ＤＢ更新","",""
24,"KJS","サブシステム",24,"KJSJ01","実務者研修オーダー受付・材発","FNKJSJ0101","実務者研修受付チェック","BTGKJSJ0101J01","実務者研修受付チェック","・入力パラメータ（受付番号）より、オーダー受付データ（ヘッダ）から実務者研修対象オーダー受付情報を取得する
・実務者研修ノーマライズチェックを行い、チェック結果を返却する
・日程情報より、配送希望日の設定

","PL/SQL","ＤＢ更新","",""
25,"KJS","サブシステム",25,"KJSJ03","実務者研修オーダー受付・材発","FNKJSJ0301","基幹変換ワーク更新","BTGKJSJ0301J01","基幹変換ワーク更新","・実務者研修オーダーの基幹処理結果情報より、基幹変換ワーク更新する
　基幹処理結果情報は以下
・オーダー受付エラー情報
・指示待ち情報
・未材発情報
・材発情報
・基幹変換ワーク取得不可　または、顧客番号不整合の場合、処理対象外（実務者研修用）伝送データを登録する
","PL/SQL","ＤＢ更新","",""
26,"KJS","サブシステム",26,"KJSJ03","実務者研修オーダー受付・材発","FNKJSJ0302","実務者研修未材通知はがきデータ作成","BTGKJSJ0302J01","実務者研修未材通知はがきデータ作成","・未材発データより、当日発生した未材発　かつ、実務者研修対象オーダーを取得し、
　未材発はがき（実務者研修用）伝送データへ登録する
","PL/SQL","ＤＢ更新","",""
27,"KJS","サブシステム",27,"KJSJ03","実務者研修オーダー受付・材発","FNKJSJ0303","実務者研修参加証データ作成","BTGKJSJ0303J01","実務者研修参加証データ作成","・未材発解除指示より、当日発生した材発データ　かつ、実務者研修対象オーダーを取得し、
　参加証（実務者研修用）伝送データへ登録する
","PL/SQL","ＤＢ更新","",""
28,"KJS","サブシステム",28,"KJSJ03","実務者研修オーダー受付・材発","FNKJSJ0304","実務者研修参加者名簿データ作成","BTGKJSJ0304J01","実務者研修参加者名簿データ作成","・日程マスタより、参加者名簿出力日①、参加者名簿出力日②のいずれかが、業務日付に該当する
　データの日程IDを取得する
・基幹変換ワークより、日程IDに一致するデータを取得し、参加者名簿（実務者研修用）伝送データへ
　登録する
","PL/SQL","ＤＢ更新","",""
29,"KJS","サブシステム",29,"KJSJ03","実務者研修オーダー受付・材発","FNKJSJ0305","実務者研修オーダー取込チェックデータ作成","BTGKJSJ0305J01","実務者研修オーダー取込チェックデータ作成","・予約管理システムに登録済みのデータでオーダー取込されていないデータを基幹変換ワークより抽出し
　オーダー取込チェックデータ（実務者研修用）に登録する","PL/SQL","ＤＢ更新","",""
30,"KJS","サブシステム",30,"KJSJ03","実務者研修オーダー受付・材発","FNKJSJ0306","実務者研修参加証（再送用）データ作成","BTGKJSJ0306J01","実務者研修参加証（再送用）データ作成","・日程マスタより、参加者名簿出力日①が、業務日付に該当するデータの日程IDを取得する
・基幹変換ワークより、日程IDに一致するデータを取得し、参加証（実務者研修再送用）伝送データへ登録する","PL/SQL","ＤＢ更新","",""
31,"KJS","サブシステム",31,"KJSJ03","実務者研修オーダー受付・材発","FNKJSJ0307","実務者研修処理対象外データ作成","BTGKJSJ0307J01","実務者研修処理対象外データ作成","・オーダー受付エラー情報より、実務者研修受付チェックエラー（基幹変換ワーク存在エラーフラグ=「1:エラーあり」）
　を取得し、処理対象外（実務者研修用）伝送データを登録する","PL/SQL","ＤＢ更新","",""
32,"KJS","サブシステム",32,"KJSK01","ココチモ日次処理","FNKJSK0101","ココチモノーマライズ","BTGKJSK0101J01","ココチモノーマライズ","・当日連携されたココチモ日次更新トランデータを対象に下記の処理を行う
顧客統合後の顧客番号設定
データNO毎にノーマライズを実施
・ノーマライズ結果は「ココチモノーマライズ結果ファイル」に出力し、ココチモに配信する
※配信は別処理
","PL/SQL","ＤＢ更新","",""
33,"KJS","サブシステム",33,"KJSK01","ココチモ日次処理","FNKJSK0102","住所コード設定","BTGKJSK0102J01","住所コード設定","・ダミー講座でないデータNOが6P12、S4、S5のいずれかの日次更新トランの都道府県、市区郡から
　都道府県コードと市区郡コードを取得する","PL/SQL","ＤＢ更新","",""
34,"KJS","サブシステム",34,"KJSK01","ココチモ日次処理","FNKJSK0103","エラー判定","BTGKJSK0103J01","エラー判定","・エラーが発生データが１件以上存在する場合、当日発生した日次更新トランを全件処理対象外とする（削除する）","PL/SQL","ＤＢ更新","",""
35,"KJS","サブシステム",35,"KJSK01","ココチモ日次処理","FNKJSK0104","６Ｐ９Ｘ生成","BTGKJSK0104J01","６Ｐ９Ｘ生成","・データNOが6P12、13、S4、S5のいずれかで　かつ　トラン状態区分がスペース　かつ　元データNOが
　スペースの日次更新トランを取得し、顧客番号から最新の顧客情報（都道府県コード、市区郡コード、
　法人姓名区分）を取得して、日次更新トランに６Ｐ９Ｘの顧客更新トランを登録する
　ただし、顧客番号が重複するデータの２件目以降は登録対象外とする
","PL/SQL","ＤＢ更新","",""
36,"KJS","サブシステム",36,"KJSK01","ココチモ日次処理","FNKJSK0105","WEB累積データ登録","BTGKJSK0105J01","WEB累積データ登録","・ココチモの日次更新トランの内、お客様が入力したオーダーを
　累積WEBオーダートランに登録する","PL/SQL","ＤＢ更新","",""
37,"KJS","サブシステム",37,"KJSK01","ココチモ日次処理","FNKJSK0106","カスタマーバーコード設定","BTGKJSK0106J01","カスタマーバーコード設定","・ココチモオーダーで顧客マスタに登録された顧客情報でカスタマーバーコードが未設定の
　データにカスタマーバーコードを設定する","PL/SQL","ＤＢ更新","",""
38,"KJS","サブシステム",38,"KJSK01","ココチモ日次処理","FNKJSK0107","ココチモ受講履歴・取引履歴更新","BTGKJSK0107J01","ココチモ受講履歴・取引履歴更新","・ココチモの顧客更新トラン（日次更新トランの顧客更新トラン＝１）データから
　受講履歴・取引履歴を登録・更新・削除する
【新規対象データ】
データＮＯが「12」「13」「S4」「S5」「2A」
ただし、未材データが存在する場合は事前に削除する
【更新対象データ】
◇オーダー情報
データＮＯが「95」
返品コードが下記でない
「3:材発後誤入力取消、交換前提返品」、「4:材発前、与信拒否」、
「7:材発前、在庫無し取消」、「8:材発前誤入力取消、交換前提キャンセル」
◇請求情報
トラン種別が下記
「1:通常入金」、「2:調整入金」、「4:返品」、「6:請求」
【削除対象データ】
データＮＯが「95」
返品コードが下記
「3:材発後誤入力取消、交換前提返品」、「4:材発前、与信拒否」、
「7:材発前、在庫無し取消」、「8:材発前誤入力取消、交換前提キャンセル」
もしくは
データＮＯが「22」
データ区分が「9：取消指示」
","PL/SQL","ＤＢ更新","",""
39,"KJS","サブシステム",39,"KJSK01","ココチモ日次処理","FNKJSK0108","ココチモダミー講座情報更新","BTGKJSK0108J01","ココチモダミー講座情報更新","・WEBオーダーにより複数商品を１つのダミー講座として登録された取引履歴を、
　ココチモの日次更新トランからダミー講座の売掛残確定データを元に消し込みを行う
　※結果として、WEBオーダーエリアの売掛残には未材分のみが残る
（BATCHオーダーエリアのＤ社分売掛残は、未材分を含まない。）","PL/SQL","ＤＢ更新","",""
40,"KJS","サブシステム",40,"KJSK01","ココチモ日次処理","FNKJSK0109","ココチモオーダ統計_受注統計作成","BTGKJSK0109J01","ココチモオーダ統計_受注統計作成","日次連携したココチモ日次更新トラン＿集信から統計連携用のＲＡＷデータ＿オーダーを作成
・統計[受注統計](6PL3)
","PL/SQL","ＤＢ更新","",""
41,"KJS","サブシステム",41,"KJSK01","ココチモ日次処理","FNKJSK0110","ココチモオーダ統計_媒体・DM統計作成","BTGKJSK0110J01","ココチモオーダ統計_媒体・DM統計作成","日次連携したココチモ日次更新トランから統計連携用のＲＡＷデータ＿リストを作成
・統計[媒体統計、DM統計](6P13)","PL/SQL","ＤＢ更新","",""
42,"KJS","サブシステム",42,"KJSK01","ココチモ日次処理","FNKJSK0111","ココチモ年齢別性別分布情報作成","BTGKJSK0111J01","ココチモ年齢別性別分布情報作成","日次連携したココチモ日次更新トラン＿集信から統計連携用の年齢別性別分布情報を作成
","PL/SQL","ＤＢ更新","",""
43,"KJS","サブシステム",43,"KJSK01","ココチモ日次処理","FNKJSK0112","ココチモ材発情報作成","BTGKJSK0112J01","ココチモ材発情報作成","累積したココチモ日次更新トラン＿累積から統計連携用の材発情報を作成
・材発統計(6PL4)","PL/SQL","ＤＢ更新","",""
44,"KJA","リスト・オーダー共通",1,"KJAB01","受付","FNKJAB0101","名寄せ","BTGKJAB0101J01","名寄せ","・リスト受付データとオーダー受付データの直入分に対して、
顧客マスタと名寄せを行い、既顧客か新規顧客か判定する
判定できないものは名寄せ指示待ちとする
・新規顧客は顧客番号を採番し、顧客マスタとステータスＤＢに追加する","PL/SQL","","",""
45,"KJA","リスト・オーダー共通",2,"KJAB01","受付","FNKJAB0101","名寄せ","BTGKJAB0101J02","ブラックチェック","・既顧客（名寄せ結果：該当、スキップ（ラベルありオーダー））の場合 
　・ステータスＤＢに対してブラックチェックを行う
　　・ブラック該当の場合、受付データをICS該当扱いとする","PL/SQL","","",""
46,"KJA","リスト・オーダー共通",3,"KJAB01","受付","FNKJAB0102","既顧客情報更新","BTGKJAB0102J01","リスト既顧客情報更新","・既顧客（ＷＥＢＡＰＩデータ含む）のリスト受付データに対して下記を実施する
　対象：WEBAPIデータ（名寄せ処理済みデータ）
　①WEBAPIで名寄せ既顧客の場合、住名変チェックし住名変データを登録
　②WEBAPI側で顧客登録した顧客の情報（カスタマーバーコード）の更新","PL/SQL","","",""
47,"KJA","リスト・オーダー共通",4,"KJAB01","受付","FNKJAB0102","既顧客情報更新","BTGKJAB0102J02","オーダー既顧客情報更新","・既顧客（ＷＥＢＡＰＩデータ含む）のオーダー受付データに対して下記を実施する
　対象：WEBAPIデータ（名寄せ処理済みデータ）、ラベル有オーダーデータ（名寄せ処理不要データ）、モニター用登録データ
　①WEBAPIで名寄せ既顧客の場合、住名変チェックし住名変データを登録
　②WEBAPI側で顧客登録した顧客の情報（カスタマーバーコード）の更新
　③ラベル有オーダーの場合、ブラックチェック（ステータスDB）を実施
　　 ブラックチェックの結果、ブラックと判定された場合、受付ステータスを『ICS該当』で反映し、受付処理を終了","PL/SQL","","",""
48,"KJA","リスト・オーダー共通",3,"KJAB01","受付","FNKJAB0103","ブラック名寄せ
","BTGKJAB0103J01","ブラック名寄せ","・リスト及びオーダー受付データからブラック名寄せ対象データを取得し、
ブラックマスタと突合してブラック名寄せマッチングを行い、受付可能か判定する","PL/SQL","","",""
49,"KJA","リスト・オーダー共通",4,"KJAB01","受付","FNKJAB0103","ブラック名寄せ
","BTGKJAB0103J02","顧客更新","・既顧客（名寄せ結果：該当、スキップ（ラベルありオーダー））　かつ、ブラックではない（ブラック該当・指示待ち以外）場合 
　・住名変チェックを行い住名変が発生している場合、住名変受付データに追加する
　・局戻りカウント、請求局戻りカウントのリセットを行う
・顧客更新結果を受付データに反映する","PL/SQL","","",""
50,"KJA","リスト・オーダー共通",5,"KJAB01","受付","FNKJAB0104","オーダーICS","BTGKJAB0104J01","オーダーICS","・オーダー受付データよりICS処理対象データを取得し、ICS処理を明細単位に実施する
　 ICS処理対象：
　　　　オーダー受付処理中でブラック名寄せ処理まで終了している
　　　　 ICS処理を実施していない受付データ
          ICS指示待ちが解除されたデータ","PL/SQL","","",""
51,"KJA","リスト・オーダー共通",6,"KJAB01","受付","FNKJAB0105","オーダー合算ICS","BTGKJAB0105J01","オーダー合算ICS","・ICS受付となったオーダー受付データを対象に、講座単位で合算ICS処理を実施する
・合算条件を満たし（ＩＣＳ結果＿合算ＩＣＳ≠スキップ、ＩＣＳ結果＿カートＩＣＳ≠スキップ）、
　かつ、同一キーの指示待ちデータが存在する場合には、ICS受付のデータをICS指示待ちに更新する
　なお、1受注複数明細のオーダーの場合はカート内のデータにて判定を行う","PL/SQL","","",""
52,"KJA","リスト・オーダー共通",7,"KJAB01","受付","FNKJAB0106","リストICS","BTGKJAB0106J01","リストICS","・リスト受付データよりICS対象データを取得し、ICS処理を明細単位に実施する
　ICS処理対象：
　　　　リスト受付処理中でブラック名寄せ処理まで終了している
　　　　ICS処理を実施していない受付データ
　　　　ICS指示待ちが解除されたデータ","PL/SQL","","",""
53,"KJA","リスト・オーダー共通",8,"KJAB01","受付","FNKJAB0107","リスト連携","BTGKJAB0107J01","リスト連携","・勧誘DMへ連携するＡ－１処理対象データを明細単位で作成する","PL/SQL","","",""
54,"KJA","リスト・オーダー共通",9,"KJAB01","受付","FNKJAB0108","オーダー連携","BTGKJAB0108J01","オーダー連携","①明細単位で勧誘DMへ連携する追求消込候補データ（追求消込候補となるデータ）を作成する
②明細単位で商品教材へ連携する以下のデータを作成する
　　・受講履歴作成候補データ（非材発分受講履歴作成）
　　・ＡＳ４００連携データ（非材発分AS/400連携）
　　・材発候補データ（材発分）
③材発候補データのうち、送付先違いオーダーの場合には送付先マスタへ登録する","PL/SQL","","",""
55,"KJA","リスト・オーダー共通",10,"KJAB01","受付","FNKJAB0109","リスト累積登録","BTGKJAB0109J01","リスト累積登録","・受付処理が完了したリスト受付データを累積データに保存する
・ICS該当分に関してICS該当として取引履歴を作成する","PL/SQL","","",""
56,"KJA","リスト・オーダー共通",11,"KJAB01","受付","FNKJAB0110","オーダー累積登録","BTGKJAB0110J01","オーダー累積登録","・明細単位で受付処理が完了したオーダー受付データを累積データに保存する
・ICS該当分に関してICS該当として取引履歴を作成する","PL/SQL","","",""
57,"KJA","リスト・オーダー共通",12,"KJAB02","名寄せ指示待ち解除","FNKJAB0202","名寄せ指示待ち解除","BTGKJAB0202J01","リスト名寄せ指示待ち解除","・名寄せ指示待ち解除結果をリスト受付データへ反映する","PL/SQL","","",""
58,"KJA","リスト・オーダー共通",13,"KJAB02","名寄せ指示待ち解除","FNKJAB0202","名寄せ指示待ち解除","BTGKJAB0202J02","オーダー名寄せ指示待ち解除","・名寄せ指示待ち解除結果をオーダー受付データへ反映する
・解除結果が「取消」　かつ、在庫引当済であれば、在庫マスタに対して在庫引戻しをする","PL/SQL","","",""
59,"KJA","リスト・オーダー共通",14,"KJAB03","ブラック指示待ち・該当解除","FNKJAB0302","ブラック指示待ち解除","BTGKJAB0302J01","リストブラック指示待ち解除","・ブラック名寄せ指示待ち解除画面で指示した結果を、リスト受付データに反映する
・指示がブラック登録の場合は、ブラック登録受付データ(6P83)をジェネレートする","PL/SQL","","",""
60,"KJA","リスト・オーダー共通",15,"KJAB03","ブラック指示待ち・該当解除","FNKJAB0302","ブラック指示待ち解除","BTGKJAB0302J02","オーダーブラック指示待ち解除","・ブラック名寄せ指示待ち解除画面で指示した結果を、オーダー受付データに反映する
・指示がブラック登録の場合は、ブラック登録受付データ(6P83)をジェネレートする","PL/SQL","","",""
61,"KJA","リスト・オーダー共通",16,"KJAB03","ブラック指示待ち・該当解除","FNKJAB0303","ブラック該当解除","BTGKJAB0303J01","オーダーブラック該当解除","・ブラック該当者確認入力画面で再投入指示をした場合、オーダー受付データを新規に登録する
・再投入時にブラック名寄せのスキップを設定する","PL/SQL","","",""
62,"KJA","リスト・オーダー共通",17,"KJAB04","ICS指示待ち・該当解除","FNKJAB0402","ICS指示待ち解除","BTGKJAB0402J01","リストICS指示待ち解除","・ICS指示待ち解除画面で解除指示したデータに対し指示を確定し、
リストICS処理対象になるようデータを更新する","PL/SQL","","",""
63,"KJA","リスト・オーダー共通",18,"KJAB04","ICS指示待ち・該当解除","FNKJAB0402","ICS指示待ち解除","BTGKJAB0402J02","オーダーICS指示待ち解除","・ICS指示待ち解除画面で解除指示したデータに対し指示を確定し、
オーダーICS処理対象になるようデータを更新する","PL/SQL","","",""
64,"KJA","リスト・オーダー共通",19,"KJAB04","ICS指示待ち・該当解除","FNKJAB0403","ICS該当解除","BTGKJAB0403J01","オーダーICS該当解除","・ＩＣＳ該当確認入力画面で再投入指示をした場合、オーダー受付データを新規に登録する
・再投入時にＩＣＳの同一オーダーチェックにスキップを設定する","PL/SQL","","",""
65,"KJA","リスト・オーダー共通",20,"KJAB05","WEBプレ受付","FNKJAB0501","WEBプレ受付","BTGKJAB0501J01","WEBプレ受付","・WEB APIで処理されたデータに対して以下の処理を行う
①指示待ちデータ・候補者データの作成（指示待ちの場合）
　指示待ちデータ・候補者データの作成
　　WEB API側にて名寄せ指示待ち、ブラック指示待ちと判定されたデータに対して
　　指示待ちデータ、および、候補者データの作成を行う
②住名変チェックおよび住名変（既顧客（ラベル有、名寄せ該当）の場合）
　顧客マスタの個人情報と差異があれば、顧客マスタに更新を行う","PL/SQL","","",""
66,"KJA","リスト・オーダー共通",21,"KJAC01","モニター登録","FNKJAC0101","モニター登録","BTGKJAC0101J01","モニター登録","・顧客マスタ・ステータスＤＢに対して、システムモニター・DMモニターの顧客登録を行う
　既に顧客マスタに存在する場合には、更新を行う
・モニター登録データの削除指示フラグが立っているデータについては、顧客マスタ・ステータスＤＢから対象顧客を物理削除する。","PL/SQL","","",""
67,"KJA","リスト・オーダー共通",22,"KJAB04","ICS指示待ち・該当解除","FNKJAB0403","ICS該当解除","BTGKJAB0403J01","オーダーICS該当解除","・ＩＣＳ該当者確認入力画面で再投入指示をした場合、再投入オーダー受付データを
　オーダー受付データに反映する
・再投入時にブラック名寄せおよびＩＣＳのスキップを設定する","Java","","",""
68,"KJA","リスト・オーダー共通",22,"KJAO01","アウトプット","FNKJAO0101","リストデータK/P照合リスト","BTGKJAO0101J01","リストデータK/P照合リスト","","","","",""
69,"KJA","リスト・オーダー共通",23,"KJAO01","アウトプット","FNKJAO0102","オーダデータK/P照合リスト","BTGKJAO0102J01","オーダデータK/P照合リスト","","","","",""
70,"KJA","リスト・オーダー共通",24,"KJAO01","アウトプット","FNKJAO0103","主要ファイル更新状況表①②","BTGKJAO0103J01","主要ファイル更新状況表①②","","","","",""
71,"KJA","リスト・オーダー共通",25,"KJAO01","アウトプット","FNKJAO0104","リストオーダー処理状況表","BTGKJAO0104J01","リストオーダー処理状況表","","","","",""
72,"KJA","リスト・オーダー共通",26,"KJAO01","アウトプット","FNKJAO0105","カナ氏名入力カウントリスト","BTGKJAO0105J01","カナ氏名入力カウントリスト","","","","",""
73,"KJA","リスト・オーダー共通",27,"KJAO01","アウトプット","FNKJAO0106","FP講座カナ氏名マスター","BTGKJAO0106J01","FP講座カナ氏名マスター","","","","",""
74,"KJA","リスト・オーダー共通",28,"KJAZ01","リスト･オーダー共通機能","FNKJAZ0101","固定ＩＣＳフラグ更新","BTGKJAZ0101J01","固定ＩＣＳフラグ更新","・固定ICSフラグを更新する対象の顧客（取引履歴、ステータスＤＢを更新した顧客）に対し、
固定ICSチェックを実施し、その結果をステータスＤＢの各ICS結果に更新する","PL/SQL","","",""
75,"KJA","リスト・オーダー共通",29,"KJAZ01","リスト･オーダー共通機能","","","","受付番号採番","","","","",""
76,"KJA","リスト・オーダー共通",30,"KJAZ01","リスト･オーダー共通機能","","","","記載事項チェック","","","","",""
77,"KJA","リスト・オーダー共通",31,"KJAZ01","リスト･オーダー共通機能","","","","ノーマライズ","","","","",""
78,"KJA","リスト・オーダー共通",32,"KJAZ01","リスト･オーダー共通機能","","","","忌避漢字チェック","","","","",""
79,"KJA","リスト・オーダー共通",33,"KJAZ01","リスト･オーダー共通機能","","","","生年月年齢変換","","","","",""
80,"KJA","リスト・オーダー共通",34,"KJAZ01","リスト･オーダー共通機能","","","","マッチコード生成","※マッチコード用の文字標準化含む","","","",""
